Tommy,La Stella,3B,1316,360
Mike,Yastrzemski,RF,563,168
Donovan,Solano,2B,1473,407
Buster,Posey,C,4575,1380
Brandon,Belt,1B,3811,1003
Brandon,Crawford,SS,4402,1099
Alex,Dickerson,LF,586,160
Austin,Slater,CF,569,147
Kevin,Gausman,P,56,2
Nikita,Lnu,C,11,6
